Date/Time,MAIN ZONE:RUN PERIOD 1:FLOOR ILLUMINANCE MAP at 0.30m Illuminance [lux] (Hourly), RefPt1=(-1.56:0.80:0.30),,
(-30.36;13.18)=,2479,18233,18327,18881,2479
(-30.36;25.80)=,2479,2479,2479,2479,17431
 01/02 10:00,(-30.36;-24.68)=,(-15.92;-24.68)=,(-1.47;-24.68)=,(12.97;-24.68)=,(27.41;-24.68)=
(-30.36;-24.68)=,4834,4834,4834,4834,4834
(-30.36;-12.06)=,4834,35769,36298,37235,4834
(-30.36;0.56)=,4834,35663,36107,37263,4834
(-30.36;13.18)=,4834,36035,36211,37162,4834
(-30.36;25.80)=,4834,4834,4834,4834,33882
 01/02 11:00,(-30.36;-24.68)=,(-15.92;-24.68)=,(-1.47;-24.68)=,(12.97;-24.68)=,(27.41;-24.68)=
(-30.36;-24.68)=,6808,6808,6808,6808,6808
(-30.36;-12.06)=,6808,52084,52737,53336,6808
(-30.36;0.56)=,6808,52070,52458,53306,6808
(-30.36;13.18)=,6808,52359,52620,53276,6808
(-30.36;25.80)=,6808,6808,6808,6808,47562
 01/02 12:00,(-30.36;-24.68)=,(-15.92;-24.68)=,(-1.47;-24.68)=,(12.97;-24.68)=,(27.41;-24.68)=
(-30.36;-24.68)=,8133,8133,8133,8133,8133
(-30.36;-12.06)=,8133,64076,64633,65040,8133
(-30.36;0.56)=,8133,63980,64288,64885,8133
(-30.36;13.18)=,8133,64271,64489,65065,8133
(-30.36;25.80)=,8133,8133,8133,8133,56596
 01/02 13:00,(-30.36;-24.68)=,(-15.92;-24.68)=,(-1.47;-24.68)=,(12.97;-24.68)=,(27.41;-24.68)=
(-30.36;-24.68)=,8863,8863,8863,8863,8863
(-30.36;-12.06)=,8863,71350,71745,72010,8863
(-30.36;0.56)=,8863,71232,71337,71767,8863
(-30.36;13.18)=,8863,71438,71342,72064,8863
(-30.36;25.80)=,8863,8863,8863,8863,60857
 01/02 14:00,(-30.36;-24.68)=,(-15.92;-24.68)=,(-1.47;-24.68)=,(12.97;-24.68)=,(27.41;-24.68)=
(-30.36;-24.68)=,8844,8844,8844,8844,8844
(-30.36;-12.06)=,8844,71512,71644,71928,8844
(-30.36;0.56)=,8844,71413,71371,71667,8844
(-30.36;13.18)=,8844,71469,71241,71945,8844
(-30.36;25.80)=,8844,8844,8844,8844,54194
 01/02 15:00,(-30.36;-24.68)=,(-15.92;-24.68)=,(-1.47;-24.68)=,(12.97;-24.68)=,(27.41;-24.68)=
(-30.36;-24.68)=,8375,8375,8375,8375,8375
(-30.36;-12.06)=,8375,66113,66135,66455,8375
(-30.36;0.56)=,8375,66051,65872,66170,8375
(-30.36;13.18)=,8375,66081,65867,66377,8375
(-30.36;25.80)=,8375,8375,8375,8375,54331
 01/02 16:00,(-30.36;-24.68)=,(-15.92;-24.68)=,(-1.47;-24.68)=,(12.97;-24.68)=,(27.41;-24.68)=
(-30.36;-24.68)=,7118,7118,7118,7118,7118
(-30.36;-12.06)=,7118,54606,54639,54877,7118
(-30.36;0.56)=,7118,54580,54335,54644,7118
(-30.36;13.18)=,7118,54675,54458,54769,7118
(-30.36;25.80)=,7118,7118,7118,7118,48496
 01/02 17:00,(-30.36;-24.68)=,(-15.92;-24.68)=,(-1.47;-24.68)=,(12.97;-24.68)=,(27.41;-24.68)=
(-30.36;-24.68)=,5146,5146,5146,5146,5146
(-30.36;-12.06)=,5146,38457,38465,38607,5146
(-30.36;0.56)=,5146,38433,38226,38450,5146
(-30.36;13.18)=,5146,38536,38348,38537,5146
(-30.36;25.80)=,5146,5146,5146,5146,34425
 01/02 18:00,(-30.36;-24.68)=,(-15.92;-24.68)=,(-1.47;-24.68)=,(12.97;-24.68)=,(27.41;-24.68)=
(-30.36;-24.68)=,2747,2747,2747,2747,2747
(-30.36;-12.06)=,2747,20170,20031,20120,2747
(-30.36;0.56)=,2747,20157,19892,20045,2747
(-30.36;13.18)=,2747,20204,19968,20073,2747
(-30.36;25.80)=,2747,2747,2747,2747,17981
 01/02 19:00,(-30.36;-24.68)=,(-15.92;-24.68)=,(-1.47;-24.68)=,(12.97;-24.68)=,(27.41;-24.68)=
