Date/Time,MAIN ZONE:RUN PERIOD 1:FLOOR ILLUMINANCE MAP at 0.30m Illuminance [lux] (Hourly), RefPt1=(0.70:3.24:0.30),,
 01/01 10:00,(-26.30;-23.30)=,(-12.72;-23.30)=,(0.86;-23.30)=,(14.43;-23.30)=,(28.01;-23.30)=
(-26.30;28.11)=,6372,6372,6372,6372,6372
 07/22 10:00,(-26.30;-23.30)=,(-12.72;-23.30)=,(0.86;-23.30)=,(14.43;-23.30)=,(28.01;-23.30)=
(-26.30;-23.30)=,62557,58000,7889,7889,7889
(-26.30;-10.45)=,7889,61386,61427,61001,7889
(-26.30;2.40)=,7889,61242,61985,61027,7889
(-26.30;15.25)=,7889,57784,60274,59219,7889
(-26.30;28.11)=,7889,7889,7889,7889,7889
 07/22 11:00,(-26.30;-23.30)=,(-12.72;-23.30)=,(0.86;-23.30)=,(14.43;-23.30)=,(28.01;-23.30)=
(-26.30;-23.30)=,80089,66216,8800,8800,8800
(-26.30;-10.45)=,8800,69842,69798,69139,8800
(-26.30;2.40)=,8800,69738,70429,69859,8800
(-26.30;15.25)=,8800,66267,68676,68123,8800
(-26.30;28.11)=,8800,8800,8800,8800,8800
 07/22 12:00,(-26.30;-23.30)=,(-12.72;-23.30)=,(0.86;-23.30)=,(14.43;-23.30)=,(28.01;-23.30)=
(-26.30;-23.30)=,88610,69513,9102,9102,9102
(-26.30;-10.45)=,9102,73530,73485,72677,9102
(-26.30;2.40)=,9102,73489,74204,73788,9102
(-26.30;15.25)=,9102,69650,72347,72515,9102
(-26.30;28.11)=,9102,9102,9102,9102,9102
 07/22 13:00,(-26.30;-23.30)=,(-12.72;-23.30)=,(0.86;-23.30)=,(14.43;-23.30)=,(28.01;-23.30)=
(-26.30;-23.30)=,92431,68133,8827,8827,8827
(-26.30;-10.45)=,8827,72320,72489,71690,8827
(-26.30;2.40)=,8827,72435,73289,72815,8827
(-26.30;15.25)=,8827,67475,71161,71664,8827
(-26.30;28.11)=,8827,8827,8827,8827,8827
 07/22 14:00,(-26.30;-23.30)=,(-12.72;-23.30)=,(0.86;-23.30)=,(14.43;-23.30)=,(28.01;-23.30)=
(-26.30;-23.30)=,92874,63384,8129,8129,8129
(-26.30;-10.45)=,8129,67374,67954,67242,8129
(-26.30;2.40)=,8129,67622,68584,68196,8129
(-26.30;15.25)=,8129,61575,66230,67050,8129
(-26.30;28.11)=,8129,8129,8129,8129,8129
 07/22 15:00,(-26.30;-23.30)=,(-12.72;-23.30)=,(0.86;-23.30)=,(14.43;-23.30)=,(28.01;-23.30)=
(-26.30;-23.30)=,90094,54626,6975,6975,6975
(-26.30;-10.45)=,6975,58289,59473,58904,6975
(-26.30;2.40)=,6975,58755,59875,59567,6975
(-26.30;15.25)=,6975,51223,57090,58289,6975
(-26.30;28.11)=,6975,6975,6975,6975,6975
 07/22 16:00,(-26.30;-23.30)=,(-12.72;-23.30)=,(0.86;-23.30)=,(14.43;-23.30)=,(28.01;-23.30)=
(-26.30;-23.30)=,80463,42727,5520,5520,5520
(-26.30;-10.45)=,5520,46340,48059,47705,5520
(-26.30;2.40)=,5520,46789,48304,48030,5520
(-26.30;15.25)=,5520,28241,44977,46526,5520
(-26.30;28.11)=,5520,5520,5520,5520,5520
 07/22 17:00,(-26.30;-23.30)=,(-12.72;-23.30)=,(0.86;-23.30)=,(14.43;-23.30)=,(28.01;-23.30)=
(-26.30;-23.30)=,66653,32730,4223,4223,4223
(-26.30;-10.45)=,4223,28553,37406,37093,4223
(-26.30;2.40)=,4223,36526,37563,37275,4223
(-26.30;15.25)=,4223,14743,33431,35616,4223
(-26.30;28.11)=,4223,4223,4223,4223,4223
 07/22 18:00,(-26.30;-23.30)=,(-12.72;-23.30)=,(0.86;-23.30)=,(14.43;-23.30)=,(28.01;-23.30)=
(-26.30;-23.30)=,48438,18509,2794,2794,2794
(-26.30;-10.45)=,2794,15931,25048,24697,2794
(-26.30;2.40)=,2794,20443,25076,24790,2794
(-26.30;15.25)=,2794,9501,17844,23223,2794
(-26.30;28.11)=,2794,2794,2794,2794,2794
 07/22 19:00,(-26.30;-23.30)=,(-12.72;-23.30)=,(0.86;-23.30)=,(14.43;-23.30)=,(28.01;-23.30)=
(-26.30;-23.30)=,30504,10887,1644,1644,1644
(-26.30;-10.45)=,1644,12995,14971,14362,1644
(-26.30;2.40)=,1644,11867,13819,14053,1644
(-26.30;15.25)=,1644,6693,10017,12431,1644
(-26.30;28.11)=,1644,1644,1644,1644,1644
 07/22 20:00,(-26.30;-23.30)=,(-12.72;-23.30)=,(0.86;-23.30)=,(14.43;-23.30)=,(28.01;-23.30)=
(-26.30;-23.30)=,13192,5484,733,733,733
(-26.30;-10.45)=,733,6145,6438,6297,733
(-26.30;2.40)=,733,5840,6171,6194,733
(-26.30;15.25)=,733,3309,4902,5533,733
(-26.30;28.11)=,733,733,733,733,733
 07/22 21:00,(-26.30;-23.30)=,(-12.72;-23.30)=,(0.86;-23.30)=,(14.43;-23.30)=,(28.01;-23.30)=
(-26.30;-23.30)=,1911,816,108,108,108
(-26.30;-10.45)=,108,899,928,924,108
(-26.30;2.40)=,108,893,930,917,108
(-26.30;15.25)=,108,534,768,848,108
(-26.30;28.11)=,108,108,108,108,108
 07/22 22:00,(-26.30;-23.30)=,(-12.72;-23.30)=,(0.86;-23.30)=,(14.43;-23.30)=,(28.01;-23.30)=
(-26.30;-23.30)=,0,0,0,0,0
(-26.30;-10.45)=,0,0,0,0,0
(-26.30;2.40)=,0,0,0,0,0
(-26.30;15.25)=,0,0,0,0,0
(-26.30;28.11)=,0,0,0,0,0
Date/Time,MAIN ZONE:RUN PERIOD 1:FLOOR ILLUMINANCE MAP at 0.30m Illuminance [lux] (Hourly), RefPt1=(0.70:3.24:0.30),,
 07/23 04:00,(-26.30;-23.30)=,(-12.72;-23.30)=,(0.86;-23.30)=,(14.43;-23.30)=,(28.01;-23.30)=
(-26.30;-23.30)=,0,0,0,0,0
(-26.30;-10.45)=,0,0,0,0,0
(-26.30;2.40)=,0,0,0,0,0
(-26.30;15.25)=,0,0,0,0,0
(-26.30;28.11)=,0,0,0,0,0
 07/23 05:00,(-26.30;-23.30)=,(-12.72;-23.30)=,(0.86;-23.30)=,(14.43;-23.30)=,(28.01;-23.30)=
(-26.30;-23.30)=,3251,1783,245,245,245
(-26.30;-10.45)=,245,1934,2041,2059,245
(-26.30;2.40)=,245,1981,1978,1974,245
(-26.30;15.25)=,245,1184,1630,1855,245
(-26.30;28.11)=,245,245,245,245,245
 07/23 06:00,(-26.30;-23.30)=,(-12.72;-23.30)=,(0.86;-23.30)=,(14.43;-23.30)=,(28.01;-23.30)=
(-26.30;-23.30)=,12568,7442,1179,1179,1179
(-26.30;-10.45)=,1179,8819,9207,9854,1179
(-26.30;2.40)=,1179,9025,9289,8079,1179
(-26.30;15.25)=,1179,5106,7834,8748,1179
(-26.30;28.11)=,1179,1179,1179,1179,1179
 07/23 07:00,(-26.30;-23.30)=,(-12.72;-23.30)=,(0.86;-23.30)=,(14.43;-23.30)=,(28.01;-23.30)=
(-26.30;-23.30)=,22943,15430,2585,2585,2585
(-26.30;-10.45)=,2585,19062,18959,21096,2585
(-26.30;2.40)=,2585,19029,20048,13011,2585
(-26.30;15.25)=,2585,13445,18029,14704,2585
(-26.30;28.11)=,2585,2585,2585,2585,2585
 07/23 08:00,(-26.30;-23.30)=,(-12.72;-23.30)=,(0.86;-23.30)=,(14.43;-23.30)=,(28.01;-23.30)=
(-26.30;-23.30)=,29204,29656,4478,4478,4478
(-26.30;-10.45)=,4478,33385,33442,34618,4478
(-26.30;2.40)=,4478,33312,34021,28274,4478
(-26.30;15.25)=,4478,28869,31860,27281,4478
(-26.30;28.11)=,4478,4478,4478,4478,4478
 07/23 09:00,(-26.30;-23.30)=,(-12.72;-23.30)=,(0.86;-23.30)=,(14.43;-23.30)=,(28.01;-23.30)=
(-26.30;-23.30)=,39588,44254,6315,6315,6315
(-26.30;-10.45)=,6315,48050,48237,48030,6315
(-26.30;2.40)=,6315,47863,48706,47903,6315
(-26.30;15.25)=,6315,43991,46793,46480,6315
(-26.30;28.11)=,6315,6315,6315,6315,6315
 07/23 10:00,(-26.30;-23.30)=,(-12.72;-23.30)=,(0.86;-23.30)=,(14.43;-23.30)=,(28.01;-23.30)=
(-26.30;-23.30)=,62707,57836,7871,7871,7871
(-26.30;-10.45)=,7871,61236,61271,60852,7871
(-26.30;2.40)=,7871,61095,61840,60878,7871
(-26.30;15.25)=,7871,57606,60117,59052,7871
(-26.30;28.11)=,7871,7871,7871,7871,7871
 07/23 11:00,(-26.30;-23.30)=,(-12.72;-23.30)=,(0.86;-23.30)=,(14.43;-23.30)=,(28.01;-23.30)=
(-26.30;-23.30)=,79623,66397,8814,8814,8814
(-26.30;-10.45)=,8814,69975,69938,69288,8814
(-26.30;2.40)=,8814,69869,70549,69988,8814
(-26.30;15.25)=,8814,66494,68835,68285,8814
(-26.30;28.11)=,8814,8814,8814,8814,8814
 07/23 12:00,(-26.30;-23.30)=,(-12.72;-23.30)=,(0.86;-23.30)=,(14.43;-23.30)=,(28.01;-23.30)=
(-26.30;-23.30)=,87922,69708,9112,9112,9112
(-26.30;-10.45)=,9112,73658,73616,72827,9112
(-26.30;2.40)=,9112,73612,74309,73909,9112
(-26.30;15.25)=,9112,69924,72509,72672,9112
(-26.30;28.11)=,9112,9112,9112,9112,9112
 07/23 13:00,(-26.30;-23.30)=,(-12.72;-23.30)=,(0.86;-23.30)=,(14.43;-23.30)=,(28.01;-23.30)=
(-26.30;-23.30)=,91058,69114,8922,8922,8922
(-26.30;-10.45)=,8922,73195,73337,72566,8922
(-26.30;2.40)=,8922,73288,74096,73656,8922
(-26.30;15.25)=,8922,68772,72120,72571,8922
(-26.30;28.11)=,8922,8922,8922,8922,8922
 07/23 14:00,(-26.30;-23.30)=,(-12.72;-23.30)=,(0.86;-23.30)=,(14.43;-23.30)=,(28.01;-23.30)=
(-26.30;-23.30)=,89214,67625,8566,8566,8566
(-26.30;-10.45)=,8566,71407,71855,71220,8566
(-26.30;2.40)=,8566,71568,72383,72064,8566
(-26.30;15.25)=,8566,67009,70536,71126,8566
(-26.30;28.11)=,8566,8566,8566,8566,8566
 07/23 15:00,(-26.30;-23.30)=,(-12.72;-23.30)=,(0.86;-23.30)=,(14.43;-23.30)=,(28.01;-23.30)=
(-26.30;-23.30)=,85439,61450,7682,7682,7682
(-26.30;-10.45)=,7682,65035,65982,65532,7682
(-26.30;2.40)=,7682,65390,66277,66005,7682
(-26.30;15.25)=,7682,60169,64361,65096,7682
(-26.30;28.11)=,7682,7682,7682,7682,7682
 07/23 16:00,(-26.30;-23.30)=,(-12.72;-23.30)=,(0.86;-23.30)=,(14.43;-23.30)=,(28.01;-23.30)=
(-26.30;-23.30)=,76400,48993,6198,6198,6198
(-26.30;-10.45)=,6198,53010,54600,54392,6198
(-26.30;2.40)=,6198,53339,54779,54478,6198
(-26.30;15.25)=,6198,30890,52515,53447,6198
(-26.30;28.11)=,6198,6198,6198,6198,6198
 07/23 17:00,(-26.30;-23.30)=,(-12.72;-23.30)=,(0.86;-23.30)=,(14.43;-23.30)=,(28.01;-23.30)=
(-26.30;-23.30)=,65181,32955,4241,4241,4241
(-26.30;-10.45)=,4241,28773,37654,37367,4241
(-26.30;2.40)=,4241,36769,37802,37510,4241
(-26.30;15.25)=,4241,14108,33881,35949,4241
(-26.30;28.11)=,4241,4241,4241,4241,4241
 07/23 18:00,(-26.30;-23.30)=,(-12.72;-23.30)=,(0.86;-23.30)=,(14.43;-23.30)=,(28.01;-23.30)=
(-26.30;-23.30)=,43192,17166,2425,2425,2425
(-26.30;-10.45)=,2425,16426,21415,21150,2425
(-26.30;2.40)=,2425,18978,21455,21267,2425
(-26.30;15.25)=,2425,9755,16459,19752,2425
(-26.30;28.11)=,2425,2425,2425,2425,2425
 07/23 19:00,(-26.30;-23.30)=,(-12.72;-23.30)=,(0.86;-23.30)=,(14.43;-23.30)=,(28.01;-23.30)=
(-26.30;-23.30)=,19835,8004,1092,1092,1092
(-26.30;-10.45)=,1092,8917,9478,9389,1092
(-26.30;2.40)=,1092,8847,9443,9351,1092
(-26.30;15.25)=,1092,5259,7618,8612,1092
(-26.30;28.11)=,1092,1092,1092,1092,1092
 07/23 20:00,(-26.30;-23.30)=,(-12.72;-23.30)=,(0.86;-23.30)=,(14.43;-23.30)=,(28.01;-23.30)=
(-26.30;-23.30)=,7791,3272,437,437,437
(-26.30;-10.45)=,437,3648,3760,3743,437
(-26.30;2.40)=,437,3633,3774,3718,437
(-26.30;15.25)=,437,2210,3150,3459,437
(-26.30;28.11)=,437,437,437,437,437
 07/23 21:00,(-26.30;-23.30)=,(-12.72;-23.30)=,(0.86;-23.30)=,(14.43;-23.30)=,(28.01;-23.30)=
(-26.30;-23.30)=,1056,447,60,60,60
(-26.30;-10.45)=,60,499,511,509,60
(-26.30;2.40)=,60,498,514,505,60
(-26.30;15.25)=,60,309,436,474,60
(-26.30;28.11)=,60,60,60,60,60
 07/23 22:00,(-26.30;-23.30)=,(-12.72;-23.30)=,(0.86;-23.30)=,(14.43;-23.30)=,(28.01;-23.30)=
(-26.30;-23.30)=,0,0,0,0,0
(-26.30;-10.45)=,0,0,0,0,0
(-26.30;2.40)=,0,0,0,0,0
(-26.30;15.25)=,0,0,0,0,0
(-26.30;28.11)=,0,0,0,0,0
Date/Time,MAIN ZONE:RUN PERIOD 1:FLOOR ILLUMINANCE MAP at 0.30m Illuminance [lux] (Hourly), RefPt1=(0.70:3.24:0.30),,
 07/24 04:00,(-26.30;-23.30)=,(-12.72;-23.30)=,(0.86;-23.30)=,(14.43;-23.30)=,(28.01;-23.30)=
(-26.30;-23.30)=,0,0,0,0,0
(-26.30;-10.45)=,0,0,0,0,0
(-26.30;2.40)=,0,0,0,0,0
(-26.30;15.25)=,0,0,0,0,0
(-26.30;28.11)=,0,0,0,0,0
 07/24 05:00,(-26.30;-23.30)=,(-12.72;-23.30)=,(0.86;-23.30)=,(14.43;-23.30)=,(28.01;-23.30)=
(-26.30;-23.30)=,1239,530,71,71,71
(-26.30;-10.45)=,71,594,605,603,71
(-26.30;2.40)=,71,593,609,597,71
(-26.30;15.25)=,71,376,523,565,71
(-26.30;28.11)=,71,71,71,71,71
 07/24 06:00,(-26.30;-23.30)=,(-12.72;-23.30)=,(0.86;-23.30)=,(14.43;-23.30)=,(28.01;-23.30)=
(-26.30;-23.30)=,5497,2417,324,324,324
(-26.30;-10.45)=,324,2714,2762,2756,324
(-26.30;2.40)=,324,2705,2783,2718,324
(-26.30;15.25)=,324,1717,2381,2571,324
(-26.30;28.11)=,324,324,324,324,324
 07/24 07:00,(-26.30;-23.30)=,(-12.72;-23.30)=,(0.86;-23.30)=,(14.43;-23.30)=,(28.01;-23.30)=
(-26.30;-23.30)=,11923,5532,750,750,750
(-26.30;-10.45)=,750,6230,6330,6326,750
(-26.30;2.40)=,750,6206,6385,6197,750
(-26.30;15.25)=,750,3996,5461,5869,750
(-26.30;28.11)=,750,750,750,750,750
 07/24 08:00,(-26.30;-23.30)=,(-12.72;-23.30)=,(0.86;-23.30)=,(14.43;-23.30)=,(28.01;-23.30)=
(-26.30;-23.30)=,23019,11583,1596,1596,1596
(-26.30;-10.45)=,1596,13074,13237,13242,1596
(-26.30;2.40)=,1596,13028,13391,12910,1596
(-26.30;15.25)=,1596,8754,11563,12248,1596
(-26.30;28.11)=,1596,1596,1596,1596,1596
 07/24 09:00,(-26.30;-23.30)=,(-12.72;-23.30)=,(0.86;-23.30)=,(14.43;-23.30)=,(28.01;-23.30)=
(-26.30;-23.30)=,36754,19645,2728,2728,2728
(-26.30;-10.45)=,2728,22072,22264,22214,2728
(-26.30;2.40)=,2728,22032,22588,21810,2728
(-26.30;15.25)=,2728,15840,19956,20772,2728
(-26.30;28.11)=,2728,2728,2728,2728,2728
 07/24 10:00,(-26.30;-23.30)=,(-12.72;-23.30)=,(0.86;-23.30)=,(14.43;-23.30)=,(28.01;-23.30)=
(-26.30;-23.30)=,52484,28361,3918,3918,3918
(-26.30;-10.45)=,3918,31547,31741,31526,3918
(-26.30;2.40)=,3918,31555,32251,31315,3918
(-26.30;15.25)=,3918,24177,29205,29979,3918
(-26.30;28.11)=,3918,3918,3918,3918,3918
 07/24 11:00,(-26.30;-23.30)=,(-12.72;-23.30)=,(0.86;-23.30)=,(14.43;-23.30)=,(28.01;-23.30)=
(-26.30;-23.30)=,65731,33001,4545,4545,4545
(-26.30;-10.45)=,4545,36667,36882,36461,4545
(-26.30;2.40)=,4545,36758,37556,36637,4545
(-26.30;15.25)=,4545,28640,34322,35159,4545
(-26.30;28.11)=,4545,4545,4545,4545,4545
 07/24 12:00,(-26.30;-23.30)=,(-12.72;-23.30)=,(0.86;-23.30)=,(14.43;-23.30)=,(28.01;-23.30)=
(-26.30;-23.30)=,73974,35720,4881,4881,4881
(-26.30;-10.45)=,4881,39553,39858,39292,4881
(-26.30;2.40)=,4881,39725,40600,39794,4881
(-26.30;15.25)=,4881,31217,37328,38335,4881
(-26.30;28.11)=,4881,4881,4881,4881,4881
 07/24 13:00,(-26.30;-23.30)=,(-12.72;-23.30)=,(0.86;-23.30)=,(14.43;-23.30)=,(28.01;-23.30)=
(-26.30;-23.30)=,78976,37911,5116,5116,5116
(-26.30;-10.45)=,5116,41683,42162,41561,5116
(-26.30;2.40)=,5116,41948,42905,42234,5116
(-26.30;15.25)=,5116,33187,39623,40812,5116
(-26.30;28.11)=,5116,5116,5116,5116,5116
 07/24 14:00,(-26.30;-23.30)=,(-12.72;-23.30)=,(0.86;-23.30)=,(14.43;-23.30)=,(28.01;-23.30)=
(-26.30;-23.30)=,89212,44547,5914,5914,5914
(-26.30;-10.45)=,5914,48352,49157,48441,5914
(-26.30;2.40)=,5914,48774,49878,49387,5914
(-26.30;15.25)=,5914,40012,46669,47932,5914
(-26.30;28.11)=,5914,5914,5914,5914,5914
 07/24 15:00,(-26.30;-23.30)=,(-12.72;-23.30)=,(0.86;-23.30)=,(14.43;-23.30)=,(28.01;-23.30)=
(-26.30;-23.30)=,90778,46331,6041,6041,6041
(-26.30;-10.45)=,6041,49926,51217,50599,6041
(-26.30;2.40)=,6041,50445,51690,51357,6041
(-26.30;15.25)=,6041,41144,48225,49792,6041
(-26.30;28.11)=,6041,6041,6041,6041,6041
 07/24 16:00,(-26.30;-23.30)=,(-12.72;-23.30)=,(0.86;-23.30)=,(14.43;-23.30)=,(28.01;-23.30)=
(-26.30;-23.30)=,80997,41432,5382,5382,5382
(-26.30;-10.45)=,5382,44958,46727,46348,5382
(-26.30;2.40)=,5382,45443,46984,46713,5382
(-26.30;15.25)=,5382,27431,43476,45130,5382
(-26.30;28.11)=,5382,5382,5382,5382,5382
 07/24 17:00,(-26.30;-23.30)=,(-12.72;-23.30)=,(0.86;-23.30)=,(14.43;-23.30)=,(28.01;-23.30)=
(-26.30;-23.30)=,65153,31401,4069,4069,4069
(-26.30;-10.45)=,4069,28160,35938,35634,4069
(-26.30;2.40)=,4069,34992,36087,35822,4069
(-26.30;15.25)=,4069,14655,32012,34155,4069
(-26.30;28.11)=,4069,4069,4069,4069,4069
 07/24 18:00,(-26.30;-23.30)=,(-12.72;-23.30)=,(0.86;-23.30)=,(14.43;-23.30)=,(28.01;-23.30)=
(-26.30;-23.30)=,50415,19778,2805,2805,2805
(-26.30;-10.45)=,2805,19334,24735,24427,2805
(-26.30;2.40)=,2805,21835,24777,24567,2805
(-26.30;15.25)=,2805,11446,18909,22767,2805
(-26.30;28.11)=,2805,2805,2805,2805,2805
 07/24 19:00,(-26.30;-23.30)=,(-12.72;-23.30)=,(0.86;-23.30)=,(14.43;-23.30)=,(28.01;-23.30)=
(-26.30;-23.30)=,29213,10954,1590,1590,1590
(-26.30;-10.45)=,1590,12804,14292,13827,1590
(-26.30;2.40)=,1590,11986,13476,13617,1590
(-26.30;15.25)=,1590,6786,10121,12139,1590
(-26.30;28.11)=,1590,1590,1590,1590,1590
 07/24 20:00,(-26.30;-23.30)=,(-12.72;-23.30)=,(0.86;-23.30)=,(14.43;-23.30)=,(28.01;-23.30)=
(-26.30;-23.30)=,12219,5099,682,682,682
(-26.30;-10.45)=,682,5720,5948,5857,682
(-26.30;2.40)=,682,5539,5807,5784,682
(-26.30;15.25)=,682,3243,4719,5260,682
(-26.30;28.11)=,682,682,682,682,682
 07/24 21:00,(-26.30;-23.30)=,(-12.72;-23.30)=,(0.86;-23.30)=,(14.43;-23.30)=,(28.01;-23.30)=
(-26.30;-23.30)=,1654,701,93,93,93
(-26.30;-10.45)=,93,782,805,802,93
(-26.30;2.40)=,93,777,808,796,93
(-26.30;15.25)=,93,470,671,739,93
(-26.30;28.11)=,93,93,93,93,93
Date/Time,MAIN ZONE:RUN PERIOD 1:FLOOR ILLUMINANCE MAP at 0.30m Illuminance [lux] (Hourly), RefPt1=(0.70:3.24:0.30),,
 07/25 04:00,(-26.30;-23.30)=,(-12.72;-23.30)=,(0.86;-23.30)=,(14.43;-23.30)=,(28.01;-23.30)=
(-26.30;-23.30)=,1654,701,93,93,93
(-26.30;-10.45)=,93,782,805,802,93
(-26.30;2.40)=,93,777,808,796,93
(-26.30;15.25)=,93,470,671,739,93
(-26.30;28.11)=,93,93,93,93,93
 07/25 05:00,(-26.30;-23.30)=,(-12.72;-23.30)=,(0.86;-23.30)=,(14.43;-23.30)=,(28.01;-23.30)=
(-26.30;-23.30)=,3214,1630,222,222,222
(-26.30;-10.45)=,222,1795,1866,1875,222
(-26.30;2.40)=,222,1817,1837,1816,222
(-26.30;15.25)=,222,1109,1531,1708,222
(-26.30;28.11)=,222,222,222,222,222
 07/25 06:00,(-26.30;-23.30)=,(-12.72;-23.30)=,(0.86;-23.30)=,(14.43;-23.30)=,(28.01;-23.30)=
(-26.30;-23.30)=,12215,7001,1030,1030,1030
(-26.30;-10.45)=,1030,8075,8330,8625,1030
(-26.30;2.40)=,1030,8160,8378,7722,1030
(-26.30;15.25)=,1030,4858,7007,7754,1030
(-26.30;28.11)=,1030,1030,1030,1030,1030
 07/25 07:00,(-26.30;-23.30)=,(-12.72;-23.30)=,(0.86;-23.30)=,(14.43;-23.30)=,(28.01;-23.30)=
(-26.30;-23.30)=,22740,14383,2188,2188,2188
(-26.30;-10.45)=,2188,16965,16987,17945,2188
(-26.30;2.40)=,2188,16880,17558,13932,2188
(-26.30;15.25)=,2188,11634,15299,14103,2188
(-26.30;28.11)=,2188,2188,2188,2188,2188
 07/25 08:00,(-26.30;-23.30)=,(-12.72;-23.30)=,(0.86;-23.30)=,(14.43;-23.30)=,(28.01;-23.30)=
(-26.30;-23.30)=,29856,27341,4080,4080,4080
(-26.30;-10.45)=,4080,30820,30909,31766,4080
(-26.30;2.40)=,4080,30729,31421,27007,4080
(-26.30;15.25)=,4080,25751,29028,25974,4080
(-26.30;28.11)=,4080,4080,4080,4080,4080
 07/25 09:00,(-26.30;-23.30)=,(-12.72;-23.30)=,(0.86;-23.30)=,(14.43;-23.30)=,(28.01;-23.30)=
(-26.30;-23.30)=,41042,43128,6152,6152,6152
(-26.30;-10.45)=,6152,46941,47124,46947,6152
(-26.30;2.40)=,6152,46767,47616,46727,6152
(-26.30;15.25)=,6152,42416,45501,45267,6152
(-26.30;28.11)=,6152,6152,6152,6152,6152
 07/25 10:00,(-26.30;-23.30)=,(-12.72;-23.30)=,(0.86;-23.30)=,(14.43;-23.30)=,(28.01;-23.30)=
(-26.30;-23.30)=,63370,58150,7915,7915,7915
(-26.30;-10.45)=,7915,61591,61627,61210,7915
(-26.30;2.40)=,7915,61450,62204,61229,7915
(-26.30;15.25)=,7915,57868,60441,59375,7915
(-26.30;28.11)=,7915,7915,7915,7915,7915
 07/25 11:00,(-26.30;-23.30)=,(-12.72;-23.30)=,(0.86;-23.30)=,(14.43;-23.30)=,(28.01;-23.30)=
(-26.30;-23.30)=,79191,67470,8930,8930,8930
(-26.30;-10.45)=,8930,70967,70949,70317,8930
(-26.30;2.40)=,8930,70849,71512,70970,8930
(-26.30;15.25)=,8930,67652,69863,69327,8930
(-26.30;28.11)=,8930,8930,8930,8930,8930
 07/25 12:00,(-26.30;-23.30)=,(-12.72;-23.30)=,(0.86;-23.30)=,(14.43;-23.30)=,(28.01;-23.30)=
(-26.30;-23.30)=,87643,70329,9176,9176,9176
(-26.30;-10.45)=,9176,74222,74189,73424,9176
(-26.30;2.40)=,9176,74168,74851,74467,9176
(-26.30;15.25)=,9176,70605,73094,73265,9176
(-26.30;28.11)=,9176,9176,9176,9176,9176
 07/25 13:00,(-26.30;-23.30)=,(-12.72;-23.30)=,(0.86;-23.30)=,(14.43;-23.30)=,(28.01;-23.30)=
(-26.30;-23.30)=,91189,68716,8878,8878,8878
(-26.30;-10.45)=,8878,72815,72963,72187,8878
(-26.30;2.40)=,8878,72913,73730,73283,8878
(-26.30;15.25)=,8878,68297,71722,72184,8878
(-26.30;28.11)=,8878,8878,8878,8878,8878
 07/25 14:00,(-26.30;-23.30)=,(-12.72;-23.30)=,(0.86;-23.30)=,(14.43;-23.30)=,(28.01;-23.30)=
(-26.30;-23.30)=,89586,68185,8630,8630,8630
(-26.30;-10.45)=,8630,71973,72416,71787,8630
(-26.30;2.40)=,8630,72130,72941,72621,8630
(-26.30;15.25)=,8630,67599,71099,71685,8630
(-26.30;28.11)=,8630,8630,8630,8630,8630
 07/25 15:00,(-26.30;-23.30)=,(-12.72;-23.30)=,(0.86;-23.30)=,(14.43;-23.30)=,(28.01;-23.30)=
(-26.30;-23.30)=,84766,62580,7789,7789,7789
(-26.30;-10.45)=,7789,66161,67026,66616,7789
(-26.30;2.40)=,7789,66469,67298,67029,7789
(-26.30;15.25)=,7789,61593,65486,66159,7789
(-26.30;28.11)=,7789,7789,7789,7789,7789
 07/25 16:00,(-26.30;-23.30)=,(-12.72;-23.30)=,(0.86;-23.30)=,(14.43;-23.30)=,(28.01;-23.30)=
(-26.30;-23.30)=,75496,50502,6357,6357,6357
(-26.30;-10.45)=,6357,54747,56186,56024,6357
(-26.30;2.40)=,6357,54958,56354,56042,6357
(-26.30;15.25)=,6357,30918,54318,55103,6357
(-26.30;28.11)=,6357,6357,6357,6357,6357
 07/25 17:00,(-26.30;-23.30)=,(-12.72;-23.30)=,(0.86;-23.30)=,(14.43;-23.30)=,(28.01;-23.30)=
(-26.30;-23.30)=,62940,36164,4563,4563,4563
(-26.30;-10.45)=,4563,27844,41106,40860,4563
(-26.30;2.40)=,4563,40563,41257,40879,4563
(-26.30;15.25)=,4563,11881,37819,39683,4563
(-26.30;28.11)=,4563,4563,4563,4563,4563
 07/25 18:00,(-26.30;-23.30)=,(-12.72;-23.30)=,(0.86;-23.30)=,(14.43;-23.30)=,(28.01;-23.30)=
(-26.30;-23.30)=,49096,18640,2900,2900,2900
(-26.30;-10.45)=,2900,14610,26238,25851,2900
(-26.30;2.40)=,2900,20607,26262,25920,2900
(-26.30;15.25)=,2900,8766,18073,24432,2900
(-26.30;28.11)=,2900,2900,2900,2900,2900
 07/25 19:00,(-26.30;-23.30)=,(-12.72;-23.30)=,(0.86;-23.30)=,(14.43;-23.30)=,(28.01;-23.30)=
(-26.30;-23.30)=,30107,9961,1589,1589,1589
(-26.30;-10.45)=,1589,12282,14721,13954,1589
(-26.30;2.40)=,1589,10786,13164,13523,1589
(-26.30;15.25)=,1589,6047,9105,11805,1589
(-26.30;28.11)=,1589,1589,1589,1589,1589
 07/25 20:00,(-26.30;-23.30)=,(-12.72;-23.30)=,(0.86;-23.30)=,(14.43;-23.30)=,(28.01;-23.30)=
(-26.30;-23.30)=,12563,5165,694,694,694
(-26.30;-10.45)=,694,5804,6096,5958,694
(-26.30;2.40)=,694,5500,5825,5854,694
